Слово,Частота,Частота (в %)
оно,44,"0,019%"
сзади,44,"0,019%"
мысли,44,"0,019%"
стараясь,44,"0,019%"
середине,44,"0,019%"
письма,44,"0,019%"
взглядом,44,"0,019%"
никого,44,"0,019%"
другое,44,"0,019%"
тысяч,43,"0,019%"
спокойно,43,"0,019%"
мной,43,"0,019%"
однако,43,"0,019%"
брата,43,"0,019%"
cher,43,"0,019%"
месте,43,"0,019%"
думать,43,"0,019%"
глазах,43,"0,019%"
dans,43,"0,019%"
графини,42,"0,018%"
si,42,"0,018%"
коли,42,"0,018%"
сидели,42,"0,018%"
французы,42,"0,018%"
шел,42,"0,018%"
мысль,42,"0,018%"
места,42,"0,018%"
господа,42,"0,018%"
милая,42,"0,018%"
одну,42,"0,018%"
повторил,41,"0,018%"
последнее,41,"0,018%"
богу,41,"0,018%"
весьма,41,"0,018%"
анатоля,41,"0,018%"
напротив,41,"0,018%"
легко,41,"0,018%"
наши,41,"0,018%"
такого,41,"0,018%"
действительно,41,"0,018%"
князем,41,"0,018%"
любил,41,"0,018%"
тушин,41,"0,018%"
сторону,41,"0,018%"
анны,41,"0,018%"
офицера,41,"0,018%"
стола,41,"0,018%"
чувствовала,40,"0,017%"
слушал,40,"0,017%"
москву,40,"0,017%"
именно,40,"0,017%"
другого,40,"0,017%"
спрашивал,40,"0,017%"
император,40,"0,017%"
успел,40,"0,017%"
дочь,40,"0,017%"
хочет,40,"0,017%"
ночь,40,"0,017%"
должны,40,"0,017%"
видал,40,"0,017%"
дмитриевна,39,"0,017%"
жены,39,"0,017%"
жить,39,"0,017%"
большой,39,"0,017%"
слов,39,"0,017%"
самых,39,"0,017%"
вера,39,"0,017%"
княжне,39,"0,017%"
наташей,39,"0,017%"
страшно,39,"0,017%"
наших,39,"0,017%"
неприятеля,39,"0,017%"
желал,39,"0,017%"
страх,39,"0,017%"
далеко,39,"0,017%"
прошу,39,"0,017%"
почувствовал,39,"0,017%"
ипполит,38,"0,017%"
on,38,"0,017%"
вероятно,38,"0,017%"
русские,38,"0,017%"
хочу,38,"0,017%"
дорогу,38,"0,017%"
часть,38,"0,017%"
скорее,38,"0,017%"
прошел,38,"0,017%"
главнокомандующего,38,"0,017%"
графу,38,"0,017%"
сперанский,38,"0,017%"
офицеры,38,"0,017%"
всеми,38,"0,017%"
главное,38,"0,017%"
оглядываясь,38,"0,017%"
багратиона,38,"0,017%"
батюшка,37,"0,016%"
командира,37,"0,016%"
скажу,37,"0,016%"
хочешь,37,"0,016%"
какие,37,"0,016%"
бога,37,"0,016%"
равно,37,"0,016%"
дороге,37,"0,016%"
здоровье,37,"0,016%"
говоря,37,"0,016%"
самый,37,"0,016%"
самое,37,"0,016%"
офицеров,37,"0,016%"
петербург,37,"0,016%"
хотела,37,"0,016%"
улыбнулась,37,"0,016%"
маленькой,37,"0,016%"
руках,36,"0,016%"
руке,36,"0,016%"
поцеловал,36,"0,016%"
тобой,36,"0,016%"
виноват,36,"0,016%"
одним,36,"0,016%"
болконского,36,"0,016%"
близко,36,"0,016%"
столь,36,"0,016%"
полка,36,"0,016%"
вечером,36,"0,016%"
гости,36,"0,016%"
смотреть,36,"0,016%"
билибин,36,"0,016%"
начала,36,"0,016%"
тоном,35,"0,015%"
строго,35,"0,015%"
шагами,35,"0,015%"
полковник,35,"0,015%"
просить,35,"0,015%"
неужели,35,"0,015%"
утра,35,"0,015%"
кабинет,35,"0,015%"
любит,35,"0,015%"
просто,35,"0,015%"
ногу,35,"0,015%"
должна,35,"0,015%"
вопросительно,35,"0,015%"
положении,35,"0,015%"
столу,35,"0,015%"
раза,35,"0,015%"
минут,35,"0,015%"
хотите,35,"0,015%"
всякий,35,"0,015%"
плечами,35,"0,015%"
делал,35,"0,015%"
votre,34,"0,015%"
ехал,34,"0,015%"
мире,34,"0,015%"
сердце,34,"0,015%"
могло,34,"0,015%"
пришел,34,"0,015%"
год,34,"0,015%"
марье,34,"0,015%"
орудия,34,"0,015%"
самой,34,"0,015%"
оттого,34,"0,015%"
общества,34,"0,015%"
особенности,34,"0,015%"
войск,34,"0,015%"
вполне,34,"0,015%"
стоит,34,"0,015%"
собак,34,"0,015%"
улыбка,34,"0,015%"
хороша,33,"0,014%"
людьми,33,"0,014%"
испытывал,33,"0,014%"
говорите,33,"0,014%"
девушка,33,"0,014%"
сами,33,"0,014%"
кому,33,"0,014%"
свет,33,"0,014%"
армию,33,"0,014%"
пожалуйста,33,"0,014%"
prince,33,"0,014%"
часов,33,"0,014%"
итти,33,"0,014%"
самом,33,"0,014%"
взяв,33,"0,014%"
поди,33,"0,014%"
россии,33,"0,014%"
отвечая,33,"0,014%"
новые,33,"0,014%"
новое,33,"0,014%"
любить,33,"0,014%"
чувствуя,33,"0,014%"
полку,33,"0,014%"
домой,33,"0,014%"
испуганно,33,"0,014%"
разговора,33,"0,014%"
другим,33,"0,014%"
j,32,"0,014%"
неприятно,32,"0,014%"
se,32,"0,014%"
смеясь,32,"0,014%"
серьезно,32,"0,014%"
неожиданно,32,"0,014%"
прелесть,32,"0,014%"
мое,32,"0,014%"
петя,32,"0,014%"
стол,32,"0,014%"
общество,32,"0,014%"
поле,32,"0,014%"
понимал,32,"0,014%"
сказали,32,"0,014%"
ногами,32,"0,014%"
находился,32,"0,014%"
радости,32,"0,014%"
деревне,32,"0,014%"
денег,32,"0,014%"
никому,32,"0,014%"
такая,32,"0,014%"
туда,31,"0,014%"
шагов,31,"0,014%"
ai,31,"0,014%"
au,31,"0,014%"
bien,31,"0,014%"
виконт,31,"0,014%"
сыном,31,"0,014%"
конце,31,"0,014%"
дороги,31,"0,014%"
вспомнил,31,"0,014%"
хуже,31,"0,014%"
остановилась,31,"0,014%"
смерти,31,"0,014%"
tres,31,"0,014%"
нечего,31,"0,014%"
сони,31,"0,014%"
подошла,31,"0,014%"
генералу,31,"0,014%"
пять,31,"0,014%"
выше,31,"0,014%"
едва,31,"0,014%"
боюсь,31,"0,014%"
вошла,31,"0,014%"
таких,31,"0,014%"
трудно,31,"0,014%"
г,30,"0,013%"
дурно,30,"0,013%"
чему,30,"0,013%"
случилось,30,"0,013%"
отцу,30,"0,013%"
ваш,30,"0,013%"
женщина,30,"0,013%"
жил,30,"0,013%"
уехал,30,"0,013%"
твердо,30,"0,013%"
ти,30,"0,013%"
проговорила,30,"0,013%"
женщин,30,"0,013%"
странно,30,"0,013%"
своею,30,"0,013%"
получил,30,"0,013%"
княжну,30,"0,013%"
навстречу,30,"0,013%"
продолжала,30,"0,013%"
сражение,30,"0,013%"
будут,30,"0,013%"
часу,29,"0,013%"
скажите,29,"0,013%"
адъютанта,29,"0,013%"
пошла,29,"0,013%"
вслед,29,"0,013%"
изредка,29,"0,013%"
лицами,29,"0,013%"
стояла,29,"0,013%"
одном,29,"0,013%"
самые,29,"0,013%"
ума,29,"0,013%"
честь,29,"0,013%"
рядом,29,"0,013%"
moi,29,"0,013%"
знали,29,"0,013%"
залу,29,"0,013%"
голосов,29,"0,013%"
звук,29,"0,013%"
числе,29,"0,013%"
никак,29,"0,013%"
мыслей,29,"0,013%"
другом,29,"0,013%"
марш,28,"0,012%"
видите,28,"0,012%"
немного,28,"0,012%"
дал,28,"0,012%"
василья,28,"0,012%"
силы,28,"0,012%"
подумала,28,"0,012%"
левой,28,"0,012%"
вновь,28,"0,012%"
вчера,28,"0,012%"
вижу,28,"0,012%"
перебил,28,"0,012%"
homme,28,"0,012%"
слегка,28,"0,012%"
генерала,28,"0,012%"
подъехал,28,"0,012%"
нашей,28,"0,012%"
моего,28,"0,012%"
читал,28,"0,012%"
всему,28,"0,012%"
сначала,28,"0,012%"
внимания,28,"0,012%"
s,27,"0,012%"
y,27,"0,012%"
вместо,27,"0,012%"
10,27,"0,012%"
сперанского,27,"0,012%"
ah,27,"0,012%"
столом,27,"0,012%"
заметив,27,"0,012%"
держал,27,"0,012%"
молодые,27,"0,012%"
могут,27,"0,012%"
обратилась,27,"0,012%"
неловко,27,"0,012%"
солдата,27,"0,012%"
постоянно,27,"0,012%"
мир,27,"0,012%"
большую,27,"0,012%"
соне,27,"0,012%"
рублей,27,"0,012%"
состоянии,27,"0,012%"
шли,27,"0,012%"
кутузову,27,"0,012%"
свидания,27,"0,012%"
мгновение,27,"0,012%"
иначе,27,"0,012%"
души,27,"0,012%"
сыну,27,"0,012%"
света,27,"0,012%"
страха,27,"0,012%"
громко,27,"0,012%"
другую,27,"0,012%"
отцом,27,"0,012%"
борису,27,"0,012%"
бале,26,"0,011%"
иметь,26,"0,011%"
писал,26,"0,011%"
окна,26,"0,011%"
боялся,26,"0,011%"
последние,26,"0,011%"
полкового,26,"0,011%"
моей,26,"0,011%"
русских,26,"0,011%"
идет,26,"0,011%"
дам,26,"0,011%"
армия,26,"0,011%"
василия,26,"0,011%"
крик,26,"0,011%"
приятно,26,"0,011%"
налево,26,"0,011%"
решительно,26,"0,011%"
петербурга,26,"0,011%"
старался,26,"0,011%"
лиц,26,"0,011%"
мои,26,"0,011%"
принял,26,"0,011%"
головы,26,"0,011%"
сделали,26,"0,011%"
людям,26,"0,011%"
столько,26,"0,011%"
душа,26,"0,011%"
нашел,26,"0,011%"
глупости,26,"0,011%"
son,26,"0,011%"
любила,26,"0,011%"
рада,26,"0,011%"
речи,26,"0,011%"
доктор,26,"0,011%"
предложение,26,"0,011%"
замуж,26,"0,011%"
считал,26,"0,011%"
движение,26,"0,011%"
также,26,"0,011%"
долгоруков,26,"0,011%"
сквозь,25,"0,011%"
чувства,25,"0,011%"
счастия,25,"0,011%"
беспрестанно,25,"0,011%"
утром,25,"0,011%"
павловны,25,"0,011%"
другими,25,"0,011%"
слышались,25,"0,011%"
молодых,25,"0,011%"
добродетели,25,"0,011%"
жена,25,"0,011%"
села,25,"0,011%"
иди,25,"0,011%"
жерков,25,"0,011%"
andre,25,"0,011%"
смерть,25,"0,011%"
прибавила,25,"0,011%"
pere,25,"0,011%"
обе,25,"0,011%"
ужасно,25,"0,011%"
шаги,25,"0,011%"
торопливо,25,"0,011%"
соню,25,"0,011%"
ею,25,"0,011%"
человеку,25,"0,011%"
обыкновенно,25,"0,011%"
жалко,25,"0,011%"
ходить,25,"0,011%"
послышались,25,"0,011%"
цепи,25,"0,011%"
non,25,"0,011%"
велел,25,"0,011%"
мундире,25,"0,011%"
менее,25,"0,011%"
слава,25,"0,011%"
человеком,25,"0,011%"
желаю,25,"0,011%"
краснея,25,"0,011%"
первых,25,"0,011%"
внимание,25,"0,011%"
одни,25,"0,011%"
читать,25,"0,011%"
вернулся,25,"0,011%"
ростовы,25,"0,011%"
графине,24,"0,010%"
счастье,24,"0,010%"
показалось,24,"0,010%"
впечатление,24,"0,010%"
горы,24,"0,010%"
году,24,"0,010%"
наполеона,24,"0,010%"
соней,24,"0,010%"
поздно,24,"0,010%"
принять,24,"0,010%"
целый,24,"0,010%"
дядюшки,24,"0,010%"
невозможно,24,"0,010%"
лежал,24,"0,010%"
ходил,24,"0,010%"
мою,24,"0,010%"
поднял,24,"0,010%"
ног,24,"0,010%"
крики,24,"0,010%"
нашего,24,"0,010%"
ка,24,"0,010%"
грустно,24,"0,010%"
моста,24,"0,010%"
обществе,24,"0,010%"
виде,24,"0,010%"
час,24,"0,010%"
мнение,24,"0,010%"
рассказал,24,"0,010%"
просил,24,"0,010%"
засмеялся,24,"0,010%"
ночи,24,"0,010%"
мужчина,24,"0,010%"
собаки,24,"0,010%"
белом,24,"0,010%"
заговорил,24,"0,010%"
счастлив,24,"0,010%"
отвернулся,24,"0,010%"
французски,24,"0,010%"
значит,24,"0,010%"
знак,24,"0,010%"
первое,24,"0,010%"
имеет,23,"0,010%"
чувствовать,23,"0,010%"
й,23,"0,010%"
м,23,"0,010%"
счастие,23,"0,010%"
волнения,23,"0,010%"
случае,23,"0,010%"
рука,23,"0,010%"
отвечать,23,"0,010%"
одному,23,"0,010%"
другому,23,"0,010%"
решил,23,"0,010%"
вон,23,"0,010%"
приезда,23,"0,010%"
notre,23,"0,010%"
жене,23,"0,010%"
кем,23,"0,010%"
большие,23,"0,010%"
отыскивая,23,"0,010%"
самым,23,"0,010%"
сделала,23,"0,010%"
ответил,23,"0,010%"
никакого,23,"0,010%"
тушина,23,"0,010%"
причины,23,"0,010%"
прекрасно,23,"0,010%"
голубчик,23,"0,010%"
цель,23,"0,010%"
пьером,23,"0,010%"
вниз,23,"0,010%"
стороне,23,"0,010%"
выйти,23,"0,010%"
удовольствием,23,"0,010%"
великого,23,"0,010%"
хорош,23,"0,010%"
которыми,23,"0,010%"
женой,23,"0,010%"
чувством,23,"0,010%"
faut,23,"0,010%"
надеюсь,23,"0,010%"
кошелек,23,"0,010%"
груди,23,"0,010%"
взяла,23,"0,010%"
передней,23,"0,010%"
кончено,22,"0,010%"
графом,22,"0,010%"
четыре,22,"0,010%"
пускай,22,"0,010%"
последний,22,"0,010%"
желание,22,"0,010%"
французский,22,"0,010%"
показалась,22,"0,010%"
позади,22,"0,010%"
высоко,22,"0,010%"
кровь,22,"0,010%"
силах,22,"0,010%"
платья,22,"0,010%"
голова,22,"0,010%"
счастлива,22,"0,010%"
рот,22,"0,010%"
гусары,22,"0,010%"
план,22,"0,010%"
ete,22,"0,010%"
волос,22,"0,010%"
волка,22,"0,010%"
шла,22,"0,010%"
доктора,22,"0,010%"
представить,22,"0,010%"
